LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content
13,-,1782100517,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-03.55.17.534277,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
14,-,1782101186,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-04.06.26.517488,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
15,-,1782103579,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-04.46.19.095325,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
16,-,1782104501,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-05.01.41.792495,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
17,-,1782104628,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-05.03.48.049405,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
18,-,1782105290,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-05.14.50.902931,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
19,-,1782105445,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-05.17.25.114975,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
20,-,1782105685,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-05.21.25.160265,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
21,-,1782106090,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-05.28.10.657924,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
22,-,1782106189,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-05.29.49.167753,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
23,-,1782106512,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-05.35.12.830555,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
24,-,1782107708,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-05.55.08.713536,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
25,-,1782109285,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-06.21.25.442666,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
26,-,1782109466,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-06.24.26.625380,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
27,-,1782109532,2026.06.22,R02-M1-N1-C:J12-U01,2026-06-22-06.25.32.066613,R02-M1-N1-C:J12-U01,RAS,KERNEL,INFO,instruction cache parity error corrected
28,-,1782110162,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-06.36.02.403457,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
29,-,1782110416,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-06.40.16.400156,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
30,-,1782111402,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-06.56.42.624834,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
31,-,1782113587,2026.06.22,R02-M1-N0-C:J12-U11,2026-06-22-07.33.07.490785,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
32,-,1782113654,2026.06.22,UNKNOWN_LOCATION,2026-06-22-07.34.14.554816,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005
33,-,1782115481,2026.06.22,UNKNOWN_LOCATION,2026-06-22-08.04.41.263626,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,New ido chip inserted into the database: FF:F2:9F:15:1F:72:00:0D:60:EA:E0:8D ip=10.7.0.13 v=9 t=2
34,-,1782115797,2026.06.22,UNKNOWN_LOCATION,2026-06-22-08.09.57.580099,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,New ido chip inserted into the database: FF:F2:9F:16:BF:6C:00:0D:60:E9:40:93 ip=10.5.0.46 v=13 t=4
35,-,1782117921,2026.06.22,UNKNOWN_LOCATION,2026-06-22-08.45.21.902592,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,New ido chip inserted into the database: FF:F2:9F:16:C4:C2:00:0D:60:E9:3B:3D ip=10.2.1.37 v=13 t=4
36,-,1782118383,2026.06.22,UNKNOWN_LOCATION,2026-06-22-08.53.03.988210,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:16:EB:27:00:0D:60:E9:14:D8 ip=10.0.2.192 v=13 t=4 status=M Thu Aug 04 15:29:45 PDT 2005
37,-,1782119104,2026.06.22,UNKNOWN_LOCATION,2026-06-22-09.05.04.012038,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005
38,-,1782119184,2026.06.22,UNKNOWN_LOCATION,2026-06-22-09.06.24.713328,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:16:DC:81:00:0D:60:E9:23:7E ip=10.6.1.207 v=13 t=4 status=M Tue Aug 09 10:08:23 PDT 2005
39,-,1782120582,2026.06.22,UNKNOWN_LOCATION,2026-06-22-09.29.42.755731,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005
40,-,1782122853,2026.06.22,R20-M1-NF-C:J10-U01,2026-06-22-10.07.33.120116,R20-M1-NF-C:J10-U01,RAS,KERNEL,INFO,instruction cache parity error corrected
41,-,1782126044,2026.06.22,R23-M0-NE-C:J05-U01,2026-06-22-11.00.44.714825,R23-M0-NE-C:J05-U01,RAS,KERNEL,INFO,63543 double-hummer alignment exceptions
42,-,1782130062,2026.06.22,R24-M0-N1-C:J13-U11,2026-06-22-12.07.42.927767,R24-M0-N1-C:J13-U11,RAS,KERNEL,INFO,162 double-hummer alignment exceptions
43,-,1782132729,2026.06.22,R21-M1-N6-C:J08-U11,2026-06-22-12.52.09.563054,R21-M1-N6-C:J08-U11,RAS,KERNEL,INFO,141 double-hummer alignment exceptions
44,-,1782133482,2026.06.22,R16-M1-N2-C:J17-U01,2026-06-22-13.04.42.787352,R16-M1-N2-C:J17-U01,RAS,KERNEL,INFO,"CE sym 2, at 0x0b85eee0, mask 0x05"
45,-,1782134095,2026.06.22,R30-M0-N7-C:J08-U01,2026-06-22-13.14.55.279786,R30-M0-N7-C:J08-U01,RAS,KERNEL,INFO,"CE sym 20, at 0x1438f9e0, mask 0x40"
46,-,1782134519,2026.06.22,R25-M0-N7-C:J02-U01,2026-06-22-13.21.59.805934,R25-M0-N7-C:J02-U01,RAS,KERNEL,INFO,generating core.2275
47,-,1782136282,2026.06.22,R24-M1-N8-C:J09-U11,2026-06-22-13.51.22.672097,R24-M1-N8-C:J09-U11,RAS,KERNEL,INFO,generating core.862
48,-,1782137311,2026.06.22,R24-M1-NB-C:J15-U11,2026-06-22-14.08.31.356699,R24-M1-NB-C:J15-U11,RAS,KERNEL,INFO,generating core.728
49,-,1782138561,2026.06.22,R20-M1-N8-C:J04-U01,2026-06-22-14.29.21.116970,R20-M1-N8-C:J04-U01,RAS,KERNEL,INFO,generating core.775
50,-,1782139028,2026.06.22,R24-M0-NE-C:J14-U11,2026-06-22-14.37.08.307757,R24-M0-NE-C:J14-U11,RAS,KERNEL,INFO,generating core.3276
51,-,1782139839,2026.06.22,R21-M1-N2-C:J11-U01,2026-06-22-14.50.39.455884,R21-M1-N2-C:J11-U01,RAS,KERNEL,INFO,generating core.1717
52,-,1782141322,2026.06.22,R24-M0-N8-C:J04-U11,2026-06-22-15.15.22.165840,R24-M0-N8-C:J04-U11,RAS,KERNEL,INFO,generating core.3919
53,-,1782141645,2026.06.22,R31-M0-NE-C:J05-U11,2026-06-22-15.20.45.475763,R31-M0-NE-C:J05-U11,RAS,KERNEL,INFO,generating core.2079
54,-,1782141695,2026.06.22,R36-M0-NA-C:J06-U01,2026-06-22-15.21.35.003402,R36-M0-NA-C:J06-U01,RAS,KERNEL,INFO,generating core.1414
55,-,1782142389,2026.06.22,R33-M0-N4-C:J02-U11,2026-06-22-15.33.09.757168,R33-M0-N4-C:J02-U11,RAS,KERNEL,INFO,generating core.3055
56,-,1782142549,2026.06.22,R22-M0-ND-C:J10-U11,2026-06-22-15.35.49.918398,R22-M0-ND-C:J10-U11,RAS,KERNEL,INFO,generating core.201
57,-,1782143029,2026.06.22,R27-M0-N6-C:J10-U01,2026-06-22-15.43.49.754639,R27-M0-N6-C:J10-U01,RAS,KERNEL,INFO,generating core.1125
58,-,1782144866,2026.06.22,R26-M1-N8-C:J17-U11,2026-06-22-16.14.26.276183,R26-M1-N8-C:J17-U11,RAS,KERNEL,INFO,generating core.412
59,-,1782145549,2026.06.22,R36-M1-N8-C:J17-U01,2026-06-22-16.25.49.524902,R36-M1-N8-C:J17-U01,RAS,KERNEL,INFO,generating core.7828
60,-,1782146718,2026.06.22,R33-M1-NB-C:J06-U01,2026-06-22-16.45.18.798975,R33-M1-NB-C:J06-U01,RAS,KERNEL,INFO,generating core.5570
61,-,1782147274,2026.06.22,R01-M1-N7-C:J04-U11,2026-06-22-16.54.34.187330,R01-M1-N7-C:J04-U11,RAS,KERNEL,INFO,generating core.8275
62,-,1782149395,2026.06.22,R35-M1-NE-C:J05-U01,2026-06-22-17.29.55.532342,R35-M1-NE-C:J05-U01,RAS,KERNEL,INFO,generating core.4183
63,-,1782149448,2026.06.22,R36-M1-NF-C:J11-U01,2026-06-22-17.30.48.956959,R36-M1-NF-C:J11-U01,RAS,KERNEL,INFO,generating core.6545
64,-,1782150030,2026.06.22,R37-M1-NE-C:J13-U01,2026-06-22-17.40.30.111579,R37-M1-NE-C:J13-U01,RAS,KERNEL,INFO,generating core.4245
65,-,1782153445,2026.06.22,R32-M1-N4-C:J16-U01,2026-06-22-18.37.25.912804,R32-M1-N4-C:J16-U01,RAS,KERNEL,INFO,generating core.6884
66,-,1782156021,2026.06.22,R34-M1-NE-C:J02-U01,2026-06-22-19.20.21.655674,R34-M1-NE-C:J02-U01,RAS,KERNEL,INFO,generating core.6471
67,-,1782156135,2026.06.22,R31-M1-N7-C:J05-U11,2026-06-22-19.22.15.312942,R31-M1-N7-C:J05-U11,RAS,KERNEL,INFO,generating core.4155
68,-,1782156333,2026.06.22,R32-M0-NF-C:J10-U01,2026-06-22-19.25.33.882554,R32-M0-NF-C:J10-U01,RAS,KERNEL,INFO,generating core.449
69,-,1782158059,2026.06.22,R34-M1-NC-C:J06-U11,2026-06-22-19.54.19.669987,R34-M1-NC-C:J06-U11,RAS,KERNEL,INFO,generating core.6990
70,-,1782159221,2026.06.22,R31-M1-NC-C:J14-U11,2026-06-22-20.13.41.532323,R31-M1-NC-C:J14-U11,RAS,KERNEL,INFO,generating core.4876
71,-,1782159622,2026.06.22,R37-M0-N7-C:J08-U11,2026-06-22-20.20.22.638551,R37-M0-N7-C:J08-U11,RAS,KERNEL,INFO,generating core.2218
72,-,1782160850,2026.06.22,R34-M1-NA-C:J07-U11,2026-06-22-20.40.50.208573,R34-M1-NA-C:J07-U11,RAS,KERNEL,INFO,generating core.7518
73,-,1782162117,2026.06.22,R33-M1-N8-C:J09-U11,2026-06-22-21.01.57.160263,R33-M1-N8-C:J09-U11,RAS,KERNEL,INFO,generating core.5854
74,-,1782163483,2026.06.22,R30-M1-N3-C:J10-U01,2026-06-22-21.24.43.392077,R30-M1-N3-C:J10-U01,RAS,KERNEL,INFO,generating core.7457
75,-,1782165415,2026.06.22,R32-M1-N5-C:J17-U01,2026-06-22-21.56.55.799550,R32-M1-N5-C:J17-U01,RAS,KERNEL,INFO,generating core.6896
76,-,1782167326,2026.06.22,R37-M0-N3-C:J14-U01,2026-06-22-22.28.46.169396,R37-M0-N3-C:J14-U01,RAS,KERNEL,INFO,generating core.3488
77,-,1782167866,2026.06.22,R36-M0-NA-C:J17-U01,2026-06-22-22.37.46.565579,R36-M0-NA-C:J17-U01,RAS,KERNEL,INFO,generating core.1172
78,-,1782169102,2026.06.22,R33-M0-N6-C:J08-U11,2026-06-22-22.58.22.999816,R33-M0-N6-C:J08-U11,RAS,KERNEL,INFO,generating core.2286
79,-,1782170476,2026.06.22,R30-M0-ND-C:J07-U01,2026-06-22-23.21.16.816449,R30-M0-ND-C:J07-U01,RAS,KERNEL,INFO,generating core.786
80,-,1782171893,2026.06.22,R35-M0-N5-C:J17-U11,2026-06-22-23.44.53.967242,R35-M0-N5-C:J17-U11,RAS,KERNEL,INFO,generating core.2680
81,-,1782172849,2026.06.23,R63-M0-N3-C:J02-U11,2026-06-23-00.00.49.984539,R63-M0-N3-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
82,-,1782173475,2026.06.23,R63-M0-N3-C:J02-U11,2026-06-23-00.11.15.920782,R63-M0-N3-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
83,-,1782174482,2026.06.23,R37-M1-NC-C:J02-U11,2026-06-23-00.28.02.140814,R37-M1-NC-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
84,-,1782177170,2026.06.23,R37-M1-NC-C:J02-U11,2026-06-23-01.12.50.277312,R37-M1-NC-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
85,-,1782177739,2026.06.23,R37-M1-NC-C:J02-U11,2026-06-23-01.22.19.121035,R37-M1-NC-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
86,-,1782177804,2026.06.23,R37-M1-NC-C:J02-U11,2026-06-23-01.23.24.932931,R37-M1-NC-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
87,-,1782177866,2026.06.23,R37-M1-NC-C:J02-U11,2026-06-23-01.24.26.112235,R37-M1-NC-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
88,-,1782178779,2026.06.23,R37-M1-NC-C:J02-U11,2026-06-23-01.39.39.778480,R37-M1-NC-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
89,-,1782178922,2026.06.23,R37-M1-NC-C:J02-U11,2026-06-23-01.42.02.580097,R37-M1-NC-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
90,-,1782178933,2026.06.23,R37-M1-NC-C:J02-U11,2026-06-23-01.42.13.162998,R37-M1-NC-C:J02-U11,RAS,KERNEL,INFO,instruction cache parity error corrected
91,-,1782179067,2026.06.23,R32-M0-N2-C:J15-U01,2026-06-23-01.44.27.285577,R32-M0-N2-C:J15-U01,RAS,KERNEL,INFO,generating core.1524
92,-,1782179129,2026.06.23,R35-M1-ND-C:J10-U11,2026-06-23-01.45.29.295442,R35-M1-ND-C:J10-U11,RAS,KERNEL,INFO,generating core.4937
93,-,1782179721,2026.06.23,R36-M1-ND-C:J13-U01,2026-06-23-01.55.21.634210,R36-M1-ND-C:J13-U01,RAS,KERNEL,INFO,generating core.6801
94,-,1782180200,2026.06.23,R31-M1-NF-C:J15-U01,2026-06-23-02.03.20.220861,R31-M1-NF-C:J15-U01,RAS,KERNEL,INFO,generating core.4368
95,-,1782181174,2026.06.23,R34-M0-ND-C:J03-U01,2026-06-23-02.19.34.752470,R34-M0-ND-C:J03-U01,RAS,KERNEL,INFO,generating core.851
96,-,1782181303,2026.06.23,R32-M0-N9-C:J17-U01,2026-06-23-02.21.43.359536,R32-M0-N9-C:J17-U01,RAS,KERNEL,INFO,generating core.1744
97,-,1782183158,2026.06.23,R30-M0-N0-C:J17-U01,2026-06-23-02.52.38.213487,R30-M0-N0-C:J17-U01,RAS,KERNEL,INFO,generating core.1588
98,-,1782183254,2026.06.23,R37-M1-N3-C:J05-U11,2026-06-23-02.54.14.720892,R37-M1-N3-C:J05-U11,RAS,KERNEL,INFO,generating core.5307
99,-,1782183892,2026.06.23,R30-M1-NB-C:J17-U11,2026-06-23-03.04.52.665046,R30-M1-NB-C:J17-U11,RAS,KERNEL,INFO,generating core.7192
100,-,1782184231,2026.06.23,R01-M1-NB-C:J03-U11,2026-06-23-03.10.31.894343,R01-M1-NB-C:J03-U11,RAS,KERNEL,INFO,"CE sym 20, at 0x01228120, mask 0x10"
101,-,1782186174,2026.06.23,R01-M1-ND-C:J15-U11,2026-06-23-03.42.54.276807,R01-M1-ND-C:J15-U11,RAS,KERNEL,INFO,"CE sym 5, at 0x11042a80, mask 0x04"
102,-,1782186402,2026.06.23,R22-M0-N0-C:J08-U11,2026-06-23-03.46.42.529959,R22-M0-N0-C:J08-U11,RAS,KERNEL,INFO,generating core.430
103,-,1782186429,2026.06.23,R22-M0-N4-C:J08-U11,2026-06-23-03.47.09.512262,R22-M0-N4-C:J08-U11,RAS,KERNEL,INFO,generating core.174
104,-,1782187169,2026.06.23,R24-M1-N9-C:J15-U01,2026-06-23-03.59.29.263319,R24-M1-N9-C:J15-U01,RAS,KERNEL,INFO,generating core.976
105,-,1782188855,2026.06.23,R25-M1-N8-C:J06-U01,2026-06-23-04.27.35.949314,R25-M1-N8-C:J06-U01,RAS,KERNEL,INFO,generating core.1990
106,-,1782189233,2026.06.23,R20-M0-N2-C:J09-U01,2026-06-23-04.33.53.952273,R20-M0-N2-C:J09-U01,RAS,KERNEL,INFO,generating core.3638
107,-,1782189251,2026.06.23,R21-M0-NB-C:J06-U01,2026-06-23-04.34.11.887204,R21-M0-NB-C:J06-U01,RAS,KERNEL,INFO,generating core.2690
108,-,1782190179,2026.06.23,R24-M0-NA-C:J15-U11,2026-06-23-04.49.39.053266,R24-M0-NA-C:J15-U11,RAS,KERNEL,INFO,generating core.3804
109,-,1782190447,2026.06.23,R20-M1-N5-C:J06-U01,2026-06-23-04.54.07.096781,R20-M1-N5-C:J06-U01,RAS,KERNEL,INFO,generating core.418
110,-,1782191099,2026.06.23,R20-M1-N4-C:J09-U01,2026-06-23-05.04.59.665095,R20-M1-N4-C:J09-U01,RAS,KERNEL,INFO,generating core.310
111,-,1782191216,2026.06.23,R35-M0-N7-C:J10-U11,2026-06-23-05.06.56.444151,R35-M0-N7-C:J10-U11,RAS,KERNEL,INFO,generating core.2409
112,-,1782191267,2026.06.23,R35-M1-NE-C:J09-U01,2026-06-23-05.07.47.869634,R35-M1-NE-C:J09-U01,RAS,KERNEL,INFO,generating core.4182
113,-,1782191309,2026.06.23,R32-M1-N9-C:J11-U11,2026-06-23-05.08.29.290120,R32-M1-N9-C:J11-U11,RAS,KERNEL,INFO,generating core.8153
114,-,1782191826,2026.06.23,R36-M1-N8-C:J17-U11,2026-06-23-05.17.06.046228,R36-M1-N8-C:J17-U11,RAS,KERNEL,INFO,generating core.7836
115,-,1782192213,2026.06.23,R35-M0-NC-C:J03-U11,2026-06-23-05.23.33.003717,R35-M0-NC-C:J03-U11,RAS,KERNEL,INFO,generating core.2911
116,-,1782192580,2026.06.23,R35-M0-N5-C:J10-U11,2026-06-23-05.29.40.349759,R35-M0-N5-C:J10-U11,RAS,KERNEL,INFO,generating core.2921
117,-,1782192681,2026.06.23,R34-M0-N7-C:J09-U11,2026-06-23-05.31.21.808577,R34-M0-N7-C:J09-U11,RAS,KERNEL,INFO,generating core.122
118,-,1782193121,2026.06.23,R36-M0-N0-C:J11-U01,2026-06-23-05.38.41.137174,R36-M0-N0-C:J11-U01,RAS,KERNEL,INFO,generating core.1973
119,-,1782193363,2026.06.23,R17-M1-N7-C:J15-U11,2026-06-23-05.42.43.668061,R17-M1-N7-C:J15-U11,RAS,KERNEL,INFO,generating core.4984
120,-,1782193422,2026.06.23,R16-M1-NC-C:J06-U11,2026-06-23-05.43.42.274680,R16-M1-NC-C:J06-U11,RAS,KERNEL,INFO,generating core.1822
121,-,1782194072,2026.06.23,R16-M1-N2-C:J12-U01,2026-06-23-05.54.32.169430,R16-M1-N2-C:J12-U01,RAS,KERNEL,INFO,"CE sym 28, at 0x110067e0, mask 0x02"
122,-,1782194283,2026.06.23,R03-M1-N9-C:J09-U11,2026-06-23-05.58.03.777236,R03-M1-N9-C:J09-U11,RAS,KERNEL,INFO,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1"
123,-,1782194383,2026.06.23,R15-M1-N6-C:J04-U11,2026-06-23-05.59.43.463298,R15-M1-N6-C:J04-U11,RAS,KERNEL,INFO,"CE sym 14, at 0x06047860, mask 0x20"
124,-,1782195700,2026.06.23,R27-M0-ND-C:J10-U01,2026-06-23-06.21.40.578478,R27-M0-ND-C:J10-U01,RAS,KERNEL,INFO,generating core.3265
125,-,1782195713,2026.06.23,R27-M1-N6-C:J04-U01,2026-06-23-06.21.53.739945,R27-M1-N6-C:J04-U01,RAS,KERNEL,INFO,generating core.2599
126,-,1782195713,2026.06.23,R26-M0-NB-C:J09-U11,2026-06-23-06.21.53.448462,R26-M0-NB-C:J09-U11,RAS,KERNEL,INFO,generating core.1818
127,-,1782196866,2026.06.23,R21-M1-NA-C:J07-U11,2026-06-23-06.41.06.588153,R21-M1-NA-C:J07-U11,RAS,KERNEL,INFO,generating core.1694
128,-,1782198435,2026.06.23,R16-M1-N1-C:J12-U01,2026-06-23-07.07.15.010139,R16-M1-N1-C:J12-U01,RAS,KERNEL,INFO,generating core.3401
129,-,1782198666,2026.06.23,R07-M1-NE-C:J06-U01,2026-06-23-07.11.06.117308,R07-M1-NE-C:J06-U01,RAS,KERNEL,INFO,generating core.25350
130,-,1782198719,2026.06.23,R23-M1-NA-C:J17-U11,2026-06-23-07.11.59.078898,R23-M1-NA-C:J17-U11,RAS,KERNEL,INFO,generating core.1820
131,-,1782199368,2026.06.23,R16-M1-N2-C:J17-U01,2026-06-23-07.22.48.990957,R16-M1-N2-C:J17-U01,RAS,KERNEL,INFO,"CE sym 2, at 0x1b85f080, mask 0x02"
132,-,1782199731,2026.06.23,R24-M1-N6-C:J07-U11,2026-06-23-07.28.51.926004,R24-M1-N6-C:J07-U11,RAS,KERNEL,INFO,generating core.254
133,-,1782200117,2026.06.23,R25-M1-N8-C:J05-U11,2026-06-23-07.35.17.724586,R25-M1-N8-C:J05-U11,RAS,KERNEL,INFO,generating core.1887
134,-,1782200806,2026.06.23,R16-M1-N2-C:J17-U01,2026-06-23-07.46.46.947837,R16-M1-N2-C:J17-U01,RAS,KERNEL,INFO,"CE sym 2, at 0x1b85fe80, mask 0x02"
135,-,1782202010,2026.06.23,R11-M0-N7-C:J16-U11,2026-06-23-08.06.50.156294,R11-M0-N7-C:J16-U11,RAS,KERNEL,INFO,generating core.8280
136,-,1782202115,2026.06.23,R00-M1-N6-C:J12-U01,2026-06-23-08.08.35.572092,R00-M1-N6-C:J12-U01,RAS,KERNEL,INFO,generating core.12357
137,-,1782204726,2026.06.23,R26-M0-NB-C:J07-U01,2026-06-23-08.52.06.037778,R26-M0-NB-C:J07-U01,RAS,KERNEL,INFO,"CE sym 10, at 0x08d10580, mask 0x08"
138,-,1782205542,2026.06.23,R33-M0-NF-C:J07-U11,2026-06-23-09.05.42.875136,R33-M0-NF-C:J07-U11,RAS,KERNEL,INFO,generating core.2522
139,-,1782206995,2026.06.23,R36-M0-N0-C:J04-U11,2026-06-23-09.29.55.387151,R36-M0-N0-C:J04-U11,RAS,KERNEL,INFO,generating core.1711
140,-,1782207449,2026.06.23,R31-M0-NE-C:J15-U11,2026-06-23-09.37.29.610805,R31-M0-NE-C:J15-U11,RAS,KERNEL,INFO,generating core.2332
141,-,1782207586,2026.06.23,R37-M1-NF-C:J11-U11,2026-06-23-09.39.46.579364,R37-M1-NF-C:J11-U11,RAS,KERNEL,INFO,generating core.4505
142,-,1782209020,2026.06.23,R32-M0-N3-C:J11-U01,2026-06-23-10.03.40.155287,R32-M0-N3-C:J11-U01,RAS,KERNEL,INFO,generating core.1521
143,-,1782209250,2026.06.23,R22-M0-N7-C:J08-U11,2026-06-23-10.07.30.450664,R22-M0-N7-C:J08-U11,RAS,KERNEL,INFO,generating core.42
144,-,1782209347,2026.06.23,R07-M0-N6-C:J11-U01,2026-06-23-10.09.07.133636,R07-M0-N6-C:J11-U01,RAS,KERNEL,INFO,total of 1 ddr error(s) detected and corrected
145,-,1782209358,2026.06.23,R23-M0-ND-C:J13-U01,2026-06-23-10.09.18.043860,R23-M0-ND-C:J13-U01,RAS,KERNEL,INFO,generating core.145
146,-,1782209396,2026.06.23,R21-M1-N1-C:J07-U11,2026-06-23-10.09.56.323232,R21-M1-N1-C:J07-U11,RAS,KERNEL,INFO,generating core.1978
147,-,1782210042,2026.06.23,R25-M1-N1-C:J15-U11,2026-06-23-10.20.42.382364,R25-M1-N1-C:J15-U11,RAS,KERNEL,INFO,generating core.2040
148,-,1782210651,2026.06.23,R22-M0-NE-C:J04-U11,2026-06-23-10.30.51.942650,R22-M0-NE-C:J04-U11,RAS,KERNEL,INFO,generating core.15
149,-,1782211086,2026.06.23,R34-M1-N9-C:J07-U11,2026-06-23-10.38.06.978413,R34-M1-N9-C:J07-U11,RAS,KERNEL,INFO,generating core.16218
